pattern,index,seed,bits,raw_packed,rle_size,rle_enc_ms,rle_dec_ms,bp_size,bp_enc_ms,bp_dec_ms,chosen,ratio
blocky,26,,2048,256,1043,0.695,0.478,259,0.315,0.305,BITPACK,1.0117
blocky,27,,2048,256,1043,0.433,0.320,259,0.230,0.226,BITPACK,1.0117
blocky,28,,2048,256,1043,0.513,0.321,259,0.257,0.218,BITPACK,1.0117
blocky,29,,2048,256,1043,0.523,0.337,259,0.251,0.191,BITPACK,1.0117
blocky,30,,2048,256,1043,0.774,0.473,259,0.322,0.258,BITPACK,1.0117
blocky,31,,2048,256,1043,0.417,0.257,259,0.183,0.181,BITPACK,1.0117
blocky,32,,2048,256,1043,0.405,0.258,259,0.183,0.179,BITPACK,1.0117
blocky,33,,2048,256,1043,0.533,0.339,259,0.227,0.179,BITPACK,1.0117
blocky,34,,2048,256,1043,0.402,0.257,259,0.182,0.204,BITPACK,1.0117
blocky,35,,2048,256,1043,0.417,0.261,259,0.183,0.182,BITPACK,1.0117
blocky,36,,2048,256,1043,0.756,0.398,259,0.182,0.215,BITPACK,1.0117
blocky,37,,2048,256,1043,0.576,0.377,259,0.186,0.179,BITPACK,1.0117
blocky,38,,2048,256,1043,0.406,0.257,259,0.186,0.177,BITPACK,1.0117
blocky,39,,2048,256,1043,0.412,0.265,259,0.182,0.179,BITPACK,1.0117
blocky,40,,2048,256,1043,0.441,0.322,259,0.228,0.224,BITPACK,1.0117
blocky,41,,2048,256,1043,0.414,0.272,259,0.186,0.184,BITPACK,1.0117
blocky,42,,2048,256,1043,0.417,0.271,259,0.191,0.189,BITPACK,1.0117
blocky,43,,2048,256,1043,0.426,0.273,259,0.193,0.189,BITPACK,1.0117
blocky,44,,2048,256,1043,0.421,0.275,259,0.196,0.190,BITPACK,1.0117
blocky,45,,2048,256,1043,0.774,0.486,259,0.332,0.316,BITPACK,1.0117
blocky,46,,2048,256,1043,0.436,0.257,259,0.186,0.180,BITPACK,1.0117
blocky,47,,2048,256,1043,0.542,0.390,259,0.270,0.194,BITPACK,1.0117
blocky,48,,2048,256,1043,0.518,0.259,259,0.181,0.179,BITPACK,1.0117
blocky,49,,2048,256,1043,0.405,0.261,259,0.199,0.218,BITPACK,1.0117
blocky,50,,2048,256,1043,0.414,0.262,259,0.184,0.183,BITPACK,1.0117
summary:blocky,,,2048,256,1043,0.476,0.298,259,0.205,0.197,auto RLE=0 BP=50,,rle_p95_enc=0.756,rle_p99_enc=0.774,rle_p95_dec=0.473,rle_p99_dec=0.486,bp_p95_enc=0.315,bp_p99_enc=0.332,bp_p95_dec=0.258,bp_p99_dec=0.316
